date,upstream_discharge,downstream_depth,wind_speed,wind_direction,water_temperature
2024-01-01 00:00:00,4.25,1.0,1.5,45.0,18.5
2024-01-01 00:10:00,4.26,1.01,1.5,45.0,18.5
2024-01-01 00:20:00,4.27,1.02,1.5,45.0,18.6
2024-01-01 00:30:00,4.28,1.03,1.5,45.0,18.6
2024-01-01 00:40:00,4.29,1.04,1.5,45.0,18.7
2024-01-01 00:50:00,4.30,1.05,1.5,45.0,18.7
2024-01-01 01:00:00,4.31,1.06,1.5,45.0,18.8
2024-01-01 01:10:00,4.32,1.07,1.5,45.0,18.8
2024-01-01 01:20:00,4.33,1.08,1.5,45.0,18.9
2024-01-01 01:30:00,4.34,1.09,1.5,45.0,18.9
2024-01-01 01:40:00,4.35,1.10,1.5,45.0,19.0
2024-01-01 01:50:00,4.36,1.11,1.5,45.0,19.0
2024-01-01 02:00:00,4.37,1.12,1.5,45.0,19.1
2024-01-01 02:10:00,4.38,1.13,1.5,45.0,19.1
2024-01-01 02:20:00,4.39,1.14,1.5,45.0,19.2
2024-01-01 02:30:00,4.40,1.15,1.5,45.0,19.2
2024-01-01 02:40:00,4.41,1.16,1.5,45.0,19.3
2024-01-01 02:50:00,4.42,1.17,1.5,45.0,19.3
2024-01-01 03:00:00,4.43,1.18,1.5,45.0,19.4
2024-01-01 03:10:00,4.44,1.19,1.5,45.0,19.4
2024-01-01 03:20:00,4.45,1.20,1.5,45.0,19.5
2024-01-01 03:30:00,4.46,1.21,1.5,45.0,19.5
2024-01-01 03:40:00,4.47,1.22,1.5,45.0,19.6
2024-01-01 03:50:00,4.48,1.23,1.5,45.0,19.6
2024-01-01 04:00:00,4.49,1.24,1.5,45.0,19.7
2024-01-01 04:10:00,4.50,1.25,1.5,45.0,19.7
2024-01-01 04:20:00,4.51,1.26,1.5,45.0,19.8
2024-01-01 04:30:00,4.52,1.27,1.5,45.0,19.8
2024-01-01 04:40:00,4.53,1.28,1.5,45.0,19.9
2024-01-01 04:50:00,4.54,1.29,1.5,45.0,19.9
2024-01-01 05:00:00,4.55,1.30,1.5,45.0,20.0
2024-01-01 05:10:00,4.56,1.31,1.5,45.0,20.0
2024-01-01 05:20:00,4.57,1.32,1.5,45.0,20.1
2024-01-01 05:30:00,4.58,1.33,1.5,45.0,20.1
2024-01-01 05:40:00,4.59,1.34,1.5,45.0,20.2
2024-01-01 05:50:00,4.60,1.35,1.5,45.0,20.2
2024-01-01 06:00:00,4.61,1.36,1.5,45.0,20.3
2024-01-01 06:10:00,4.62,1.37,1.5,45.0,20.3
2024-01-01 06:20:00,4.63,1.38,1.5,45.0,20.4
2024-01-01 06:30:00,4.64,1.39,1.5,45.0,20.4
2024-01-01 06:40:00,4.65,1.40,1.5,45.0,20.5
2024-01-01 06:50:00,4.66,1.41,1.5,45.0,20.5
2024-01-01 07:00:00,4.67,1.42,1.5,45.0,20.6
2024-01-01 07:10:00,4.68,1.43,1.5,45.0,20.6
2024-01-01 07:20:00,4.69,1.44,1.5,45.0,20.7
2024-01-01 07:30:00,4.70,1.45,1.5,45.0,20.7
2024-01-01 07:40:00,4.71,1.46,1.5,45.0,20.8
2024-01-01 07:50:00,4.72,1.47,1.5,45.0,20.8
2024-01-01 08:00:00,4.73,1.48,1.5,45.0,20.9
2024-01-01 08:10:00,4.74,1.49,1.5,45.0,20.9
2024-01-01 08:20:00,4.75,1.50,1.5,45.0,21.0
2024-01-01 08:30:00,4.76,1.51,1.5,45.0,21.0
2024-01-01 08:40:00,4.77,1.52,1.5,45.0,21.1
2024-01-01 08:50:00,4.78,1.53,1.5,45.0,21.1
2024-01-01 09:00:00,4.79,1.54,1.5,45.0,21.2
2024-01-01 09:10:00,4.80,1.55,1.5,45.0,21.2
2024-01-01 09:20:00,4.81,1.56,1.5,45.0,21.3
2024-01-01 09:30:00,4.82,1.57,1.5,45.0,21.3
2024-01-01 09:40:00,4.83,1.58,1.5,45.0,21.4
2024-01-01 09:50:00,4.84,1.59,1.5,45.0,21.4
2024-01-01 10:00:00,4.85,1.60,1.5,45.0,21.5
2024-01-01 10:10:00,4.86,1.61,1.5,45.0,21.5
2024-01-01 10:20:00,4.87,1.62,1.5,45.0,21.6
2024-01-01 10:30:00,4.88,1.63,1.5,45.0,21.6
2024-01-01 10:40:00,4.89,1.64,1.5,45.0,21.7
2024-01-01 10:50:00,4.90,1.65,1.5,45.0,21.7
2024-01-01 11:00:00,4.91,1.66,1.5,45.0,21.8
2024-01-01 11:10:00,4.92,1.67,1.5,45.0,21.8
2024-01-01 11:20:00,4.93,1.68,1.5,45.0,21.9
2024-01-01 11:30:00,4.94,1.69,1.5,45.0,21.9
2024-01-01 11:40:00,4.95,1.70,1.5,45.0,22.0
2024-01-01 11:50:00,4.96,1.71,1.5,45.0,22.0
2024-01-01 12:00:00,4.97,1.72,1.5,45.0,22.1
2024-01-01 12:10:00,4.98,1.73,1.5,45.0,22.1
2024-01-01 12:20:00,4.99,1.74,1.5,45.0,22.2
2024-01-01 12:30:00,5.00,1.75,1.5,45.0,22.2
2024-01-01 12:40:00,5.01,1.76,1.5,45.0,22.3
2024-01-01 12:50:00,5.02,1.77,1.5,45.0,22.3
2024-01-01 13:00:00,5.03,1.78,1.5,45.0,22.4
2024-01-01 13:10:00,5.04,1.79,1.5,45.0,22.4
2024-01-01 13:20:00,5.05,1.80,1.5,45.0,22.5
